"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","5091-10","","",""
"Ônibus","509J-10","","",""
"Ônibus","509J-21","","",""
"Ônibus","509M-10","","",""
"Ônibus","509M-21","","",""
"Ônibus","5100-10","","",""
"Ônibus","5101-10","","",""
"Ônibus","5102-10","","",""
"Ônibus","5103-10","","",""
"Ônibus","5103-21","","",""
"Ônibus","5104-10","","",""
"Ônibus","5105-10","","",""
"Ônibus","5106-10","","",""
"Ônibus","5106-21","","",""
"Ônibus","5106-31","","",""
"Ônibus","5107-10","","",""
"Ônibus","5108-10","","",""
"Ônibus","5109-10","","",""
"Ônibus","5110-10","","",""
"Ônibus","5110-21","","",""
"Ônibus","5110-22","","",""
"Ônibus","5110-41","","",""
"Ônibus","5111-10","","",""
"Ônibus","5119-10","","",""
"Ônibus","5119-22","","",""
"Ônibus","5119-23","","",""
"Ônibus","5123-10","","",""
"Ônibus","5127-10","","",""
"Ônibus","5128-10","","",""
"Ônibus","5129-10","","",""
"Ônibus","5129-41","","",""
"Ônibus","5131-10","","",""
"Ônibus","513L-10","","",""
"Ônibus","5141-10","","",""
"Ônibus","5142-10","","",""
"Ônibus","5143-10","","",""
"Ônibus","5143-31","","",""
"Ônibus","5144-10","","",""
"Ônibus","5145-10","","",""
"Ônibus","5145-41","","",""
"Ônibus","514T-10","","",""
"Ônibus","514T-21","","",""
"Ônibus","5154-10","","",""
"Ônibus","5164-10","","",""
"Ônibus","5164-21","","",""
"Ônibus","5164-41","","",""
"Ônibus","516N-10","","",""
"Ônibus","5175-10","","",""
"Ônibus","5175-21","","",""
"Ônibus","5178-10","","",""
"Ônibus","5178-21","","",""
"Ônibus","517J-10","","",""
"Ônibus","5185-10","","",""
"Ônibus","5194-10","","",""
"Ônibus","5194-21","","",""
"Ônibus","519M-10","","",""
"Ônibus","524L-10","","",""
"Ônibus","524M-10","","",""
"Ônibus","527R-10","","",""
"Ônibus","5290-10","","",""
"Ônibus","5290-51","","",""
"Ônibus","5300-10","","",""
"Ônibus","5317-10","","",""
"Ônibus","5318-10","","",""
"Ônibus","5318-21","","",""
"Ônibus","5318-22","","",""
"Ônibus","5362-10","","",""
"Ônibus","5362-21","","",""
"Ônibus","5362-22","","",""
"Ônibus","5362-23","","",""
"Ônibus","5362-41","","",""
"Ônibus","5370-10","","",""
"Ônibus","5370-21","","",""
"Ônibus","5370-22","","",""
"Ônibus","5391-10","","",""
"Ônibus","5391-21","","",""
"Ônibus","5391-22","","",""
"Ônibus","546A-10","","",""
"Ônibus","546A-31","","",""
"Ônibus","546J-10","","",""
"Ônibus","546J-31","","",""
"Ônibus","546J-41","","",""
"Ônibus","546L-10","","",""
"Ônibus","546L-41","","",""
"Ônibus","546T-10","","",""
"Ônibus","5611-10","","",""
"Ônibus","5612-10","","",""
"Ônibus","5614-10","","",""
"Ônibus","5630-10","","",""
"Ônibus","5630-21","","",""
"Ônibus","5632-10","","",""
"Ônibus","5632-21","","",""
"Ônibus","5632-22","","",""
"Ônibus","5632-51","","",""
"Ônibus","5652-10","","",""
"Ônibus","5652-21","","",""
"Ônibus","5701-10","","",""
"Ônibus","5701-21","","",""
"Ônibus","5702-10","","",""
"Ônibus","5705-10","","",""
"Ônibus","571T-10","","",""
"Ônibus","573A-10","","",""
"Ônibus","573H-10","","",""
"Ônibus","573T-10","","",""
"Ônibus","573T-21","","",""
"Ônibus","573T-31","","",""
"Ônibus","574A-10","","",""
"Ônibus","574C-10","","",""
"Ônibus","574J-10","","",""
"Ônibus","574R-10","","",""
"Ônibus","574W-10","","",""
"Ônibus","5752-10","","",""
"Ônibus","5757-10","","",""
"Ônibus","5757-51","","",""
"Ônibus","5759-10","","",""
"Ônibus","5759-31","","",""
"Ônibus","575A-10","","",""
"Ônibus","575C-10","","",""
"Ônibus","576C-10","","",""
"Ônibus","576J-10","","",""
"Ônibus","576M-10","","",""
"Ônibus","577T-10","","",""
"Ônibus","5791-10","","",""
"Ônibus","6000-10","","",""
"Ônibus","6000-21","","",""
"Ônibus","6000-22","","",""
"Ônibus","6000-23","","",""
"Ônibus","6000-24","","",""
"Ônibus","6001-10","","",""
"Ônibus","6002-10","","",""
"Ônibus","6003-10","","",""
"Ônibus","6006-10","","",""
"Ônibus","6007-10","","",""
"Ônibus","6008-10","","",""
"Ônibus","6008-21","","",""
"Ônibus","6010-10","","",""
"Ônibus","6012-10","","",""
"Ônibus","6012-31","","",""
"Ônibus","6013-10","","",""
"Ônibus","6013-21","","",""
"Ônibus","6014-10","","",""
"Ônibus","6015-10","","",""
"Ônibus","6016-10","","",""
"Ônibus","6016-31","","",""
"Ônibus","6016-41","","",""
"Ônibus","6017-10","","",""
"Ônibus","6019-10","","",""
"Ônibus","6022-10","","",""
"Ônibus","6025-10","","",""
"Ônibus","6026-10","","",""
"Ônibus","6026-31","","",""
"Ônibus","6027-10","","",""
"Ônibus","6028-10","","",""
"Ônibus","6028-31","","",""
"Ônibus","6030-10","","",""
"Ônibus","6030-21","","",""
"Ônibus","6031-10","","",""
"Ônibus","6034-10","","",""
"Ônibus","6035-10","","",""
"Ônibus","6035-21","","",""
"Ônibus","6036-10","","",""
"Ônibus","6037-10","","",""
"Ônibus","6038-10","","",""
"Ônibus","6039-10","","",""
"Ônibus","6040-10","","",""
"Ônibus","6041-10","","",""
"Ônibus","6041-21","","",""
"Ônibus","6042-10","","",""
"Ônibus","6042-21","","",""
"Ônibus","6043-10","","",""
"Ônibus","6044-10","","",""
"Ônibus","6045-10","","",""
"Ônibus","6045-21","","",""
"Ônibus","6046-10","","",""
"Ônibus","6047-10","","",""
"Ônibus","6048-10","","",""
"Ônibus","6049-10","","",""
"Ônibus","6050-10","","",""
"Ônibus","6051-10","","",""
"Ônibus","6051-31","","",""
"Ônibus","6052-10","","",""
"Ônibus","6052-31","","",""
"Ônibus","6053-10","","",""
"Ônibus","6055-10","","",""
"Ônibus","6056-10","","",""
"Ônibus","6056-41","","",""
"Ônibus","6057-10","","",""
"Ônibus","6057-41","","",""
"Ônibus","6058-10","","",""
"Ônibus","6059-10","","",""
"Ônibus","6061-10","","",""
"Ônibus","6062-10","","",""
"Ônibus","6062-51","","",""
"Ônibus","6063-10","","",""
"Ônibus","6063-21","","",""
"Ônibus","6063-41","","",""
"Ônibus","6063-42","","",""
"Ônibus","6069-10","","",""
"Ônibus","6071-10","","",""
"Ônibus","6071-22","","",""
"Ônibus","6072-10","","",""
"Ônibus","6072-21","","",""
"Ônibus","6072-22","","",""
"Ônibus","6072-23","","",""
"Ônibus","6073-10","","",""
"Ônibus","6073-21","","",""
"Ônibus","6074-10","","",""
"Ônibus","6075-10","","",""
"Ônibus","6075-21","","",""
"Ônibus","6075-41","","",""
"Ônibus","6076-10","","",""
"Ônibus","6076-41","","",""
"Ônibus","6078-10","","",""
"Ônibus","607A-10","","",""
"Ônibus","607A-21","","",""
"Ônibus","607C-10","","",""
"Ônibus","607G-10","","",""
"Ônibus","607M-10","","",""
"Ônibus","6080-10","","",""
"Ônibus","6083-10","","",""
"Ônibus","6084-10","","",""
"Ônibus","6084-21","","",""
"Ônibus","6091-10","","",""
"Ônibus","6091-21","","",""
"Ônibus","6091-51","","",""
"Ônibus","6092-10","","",""
"Ônibus","6093-10","","",""
"Ônibus","6099-10","","",""
"Ônibus","609F-10","","",""
"Ônibus","609F-21","","",""
"Ônibus","609J-10","","",""
"Ônibus","609R-10","","",""
"Ônibus","6110-10","","",""
"Ônibus","6115-10","","",""
"Ônibus","6115-41","","",""
"Ônibus","6116-10","","",""
"Ônibus","6118-10","","",""
"Ônibus","6120-10","","",""
"Ônibus","6200-10","","",""
"Ônibus","6232-10","","",""
"Ônibus","6250-10","","",""
"Ônibus","6258-10","","",""
"Ônibus","6258-31","","",""
"Ônibus","6262-10","","",""
"Ônibus","6262-21","","",""
"Ônibus","627J-10","","",""
"Ônibus","6291-10","","",""
"Ônibus","6312-10","","",""
"Ônibus","6338-10","","",""
"Ônibus","6358-10","","",""
"Ônibus","6358-41","","",""
"Ônibus","6366-10","","",""
"Ônibus","637A-10","","",""
"Ônibus","637A-21","","",""
"Ônibus","637A-22","","",""
"Ônibus","637A-25","","",""
"Ônibus","637A-26","","",""
"Ônibus","637G-10","","",""
"Ônibus","637G-51","","",""
"Ônibus","637J-10","","",""
"Ônibus","637P-10","","",""
"Ônibus","637R-10","","",""
"Ônibus","637V-10","","",""
"Ônibus","6400-10","","",""
"Ônibus","6401-10","","",""
"Ônibus","6403-10","","",""
"Ônibus","6412-10","","",""
"Ônibus","6412-21","","",""
"Ônibus","6414-10","","",""
"Ônibus","6418-10","","",""
"Ônibus","6418-31","","",""
"Ônibus","6422-10","","",""
"Ônibus","6450-10","","",""
"Ônibus","6450-21","","",""
"Ônibus","6450-51","","",""
"Ônibus","6451-10","","",""
"Ônibus","6451-21","","",""
"Ônibus","6455-10","","",""
"Ônibus","6455-21","","",""
"Ônibus","6475-10","","",""
"Ônibus","6475-21","","",""
"Ônibus","647A-10","","",""
"Ônibus","647C-10","","",""
